LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
36.78551,10.15781,1989,02,13,    0.31,    5.89,   73.60,  102.26,   10.22,   11.12,    6.36,    6.37,   16.38,    6.16,   10.97
36.78551,10.15781,1989,02,14,    2.84,    6.73,   79.21,  101.19,    5.38,   11.99,    8.21,    8.21,   14.81,    9.42,   11.71
36.78551,10.15781,1989,02,15,   13.75,    6.02,   77.87,  100.43,    3.82,   10.66,    6.47,    6.48,   12.43,    8.61,   10.18
36.78551,10.15781,1989,02,16,    0.03,    5.09,   65.54,  101.17,    6.88,   10.85,    4.17,    4.18,   14.10,    7.22,   10.36
36.78551,10.15781,1989,02,17,    0.01,    5.48,   63.87,  101.47,   11.98,   11.41,    5.03,    5.05,   18.73,    6.75,   11.91
36.78551,10.15781,1989,02,18,    0.00,    5.96,   73.55,  101.69,   12.06,   10.80,    5.95,    5.98,   17.87,    5.81,   11.06
36.78551,10.15781,1989,02,19,    0.05,    7.09,   80.05,  102.08,   11.36,   12.37,    8.90,    8.91,   19.00,    7.64,   12.46
36.78551,10.15781,1989,02,20,    0.00,    6.18,   66.52,  102.00,   12.68,   12.88,    6.77,    6.78,   20.79,    8.10,   13.20
36.78551,10.15781,1989,02,21,    0.00,    6.22,   62.81,  101.33,   14.12,   13.62,    6.77,    6.78,   22.20,    8.08,   14.07
36.78551,10.15781,1989,02,22,    0.00,    7.28,   77.56,  101.08,    8.39,   12.98,    9.26,    9.26,   18.09,    9.71,   13.20
36.78551,10.15781,1989,02,23,    0.01,    7.16,   78.31,  100.62,    6.53,   12.21,    8.94,    8.94,   16.59,   10.06,   12.73
36.78551,10.15781,1989,02,24,    0.02,    6.98,   72.99,   99.69,    8.92,   13.04,    8.34,    8.34,   18.21,    9.29,   13.29
36.78551,10.15781,1989,02,25,    0.69,    6.23,   61.33,   98.81,    7.01,   13.87,    6.67,    6.68,   17.76,   10.76,   14.08
36.78551,10.15781,1989,02,26,    4.75,    7.81,   69.75,   98.72,    6.50,   15.15,   10.03,   10.03,   19.47,   12.97,   15.56
36.78551,10.15781,1989,02,27,    1.20,    6.68,   68.67,   99.53,    5.93,   13.64,    7.49,    7.50,   16.47,   10.54,   13.53
36.78551,10.15781,1989,02,28,    0.17,    6.57,   68.57,  100.26,   11.40,   13.68,    7.49,    7.50,   19.36,    7.96,   13.39
36.78551,10.15781,1989,03,01,    0.00,    7.64,   69.78,  100.48,   11.62,   15.54,    9.95,    9.95,   22.04,   10.42,   15.48
36.78551,10.15781,1989,03,02,    0.02,    7.84,   74.45,  101.13,   10.10,   15.00,   10.43,   10.43,   20.58,   10.48,   14.97
36.78551,10.15781,1989,03,03,    0.00,    6.80,   66.40,  100.77,   12.30,   14.56,    8.05,    8.06,   22.07,    9.76,   14.50
36.78551,10.15781,1989,03,04,    0.00,    7.16,   74.25,  100.90,    8.03,   13.91,    8.91,    8.92,   18.61,   10.58,   13.59
36.78551,10.15781,1989,03,05,    0.00,    6.43,   70.03,  101.26,   10.43,   13.32,    7.35,    7.36,   18.81,    8.38,   12.90
